soldierId,bestSoldierPerc
47734.0,0.39422277
47735.0,0.5319595
47736.0,0.07948443
47737.0,0.27449042
47738.0,0.3122726
47739.0,0.00488278
47740.0,0.3078814
47741.0,0.28909767
47742.0,0.8205499
47743.0,0.36834943
47744.0,0.78923565
47745.0,0.0061959196
47746.0,0.39342958
47747.0,0.42640668
47748.0,0.39180318
47749.0,0.67941964
47750.0,0.7942063
47751.0,0.77326334
47752.0,0.18988024
47753.0,0.9042154
47754.0,0.27848667
47755.0,0.3773817
47756.0,0.20681572
47757.0,0.99720097
47758.0,0.04724352
47759.0,0.47799742
47760.0,0.5319595
47761.0,0.67660385
47762.0,0.7711848
47763.0,0.49365947
47764.0,0.92899626
47765.0,0.95462686
47766.0,0.25933182
47767.0,0.14813784
47768.0,0.7049301
47769.0,0.36037093
47770.0,0.7434982
47771.0,0.49368066
47772.0,0.66705686
47773.0,0.63905144
47774.0,0.008670545
47775.0,0.011829191
47776.0,0.98285127
47777.0,0.5319595
47778.0,0.20375466
47779.0,0.7898587
47780.0,0.5319595
47781.0,0.49217206
47782.0,0.308265
47783.0,0.65560055
47784.0,0.825027
47785.0,0.32641461
47786.0,0.010831633
47787.0,0.5319595
47788.0,0.33814314
47789.0,0.19220081
47790.0,0.72521144
47791.0,0.325254
47792.0,0.73701173
47793.0,0.3849067
47794.0,0.3977483
47795.0,0.8806538
47796.0,0.83275867
47797.0,0.95426774
47798.0,0.35720918
47799.0,0.49932203
47800.0,0.7306923
47801.0,0.6667309
47802.0,0.5319595
47803.0,0.009453952
47804.0,0.5319595
47805.0,0.20316558
47806.0,0.64262253
47807.0,0.27492225
47808.0,0.96636456
47809.0,0.825636
47810.0,0.27681792
47811.0,0.854008
47812.0,0.46809924
47813.0,0.2243644
47814.0,0.044588648
47815.0,0.7361551
47816.0,0.03435634
47817.0,0.6846456
47818.0,0.8487581
47819.0,0.32554194
47820.0,0.15779115
47821.0,0.9328667
47822.0,0.113361746
47823.0,0.25986007
47824.0,0.31900924
47825.0,0.97547567
47826.0,0.4602437
47827.0,0.39121392
47828.0,0.7454809
47829.0,0.621873
47830.0,0.8783855
47831.0,0.738591
47832.0,0.73392993
47833.0,0.6640227
47834.0,0.77823603
47835.0,0.80225396
47836.0,0.35076416
47837.0,0.7560679
47838.0,0.7647699
47839.0,0.5319595
47840.0,0.27689546
47841.0,0.28741127
47842.0,0.8124435
47843.0,0.72388583
47844.0,0.0077671595
47845.0,0.66761994
47846.0,0.38976684
47847.0,0.22355919
47848.0,0.08180195
47849.0,0.7815882
47850.0,0.5319595
47851.0,0.8972275
47852.0,0.7883331
47853.0,0.007885965
47854.0,0.38101062
47855.0,0.72703195
47856.0,0.36919272
47857.0,0.75375617
47858.0,0.18175496
47859.0,0.73827016
47860.0,0.08070866
47861.0,0.8621042
47862.0,0.989974
47863.0,0.3663069
47864.0,0.009685041
47865.0,0.9729293
47866.0,0.20532571
47867.0,0.5690114
47868.0,0.4012888
47869.0,0.7760628
47870.0,0.34134004
47871.0,0.3682728
47872.0,0.04981926
47873.0,0.88956106
47874.0,0.7839515
47875.0,0.6676727
47876.0,0.36009017
47877.0,0.27549067
47878.0,0.21246272
47879.0,0.007360539
47880.0,0.20949528
47881.0,0.1806535
47882.0,0.36699885
47883.0,0.5319595
115925.0,0.39919782
115926.0,0.6083038
115927.0,0.060213808
115928.0,0.02495506
115929.0,0.2592408
